eine (for feminine) [sound:german-eine (for feminine).mp3]	a (indefinite article)
die Fähigkeit [sound:german-die Fähigkeit.mp3]	ability
fähig [sound:german-fähig.mp3]	able, capable
etwa [sound:german-etwa.mp3]	about (circa)
über [sound:german-über.mp3]	about (concerning)
über, darüber [sound:german-über, darüber.mp3]	above
im Ausland [sound:german-im Ausland.mp3]	abroad
abwesend [sound:german-abwesend.mp3]	absent
annehmen [sound:german-annehmen.mp3]	accept
der Unfall [sound:german-der Unfall.mp3]	accident
das Konto [sound:german-das Konto.mp3]	account
erreichen [sound:german-erreichen.mp3]	achieve
durch [sound:german-durch.mp3]	across (through)
handeln [sound:german-handeln.mp3]	act (verb)
die Handlung [sound:german-die Handlung.mp3]	action
die Tätigkeit [sound:german-die Tätigkeit.mp3]	activity
der Schauspieler [sound:german-der Schauspieler.mp3]	actor
die Schauspielerin [sound:german-die Schauspielerin.mp3]	actress
tatsächlich [sound:german-tatsächlich.mp3]	actual
eigentlich [sound:german-eigentlich.mp3]	actually
hinzufügen [sound:german-hinzufügen.mp3]	add
zusätzlich [sound:german-zusätzlich.mp3]	added
beigefügt [sound:german-beigefügt.mp3]	additional
die Adresse [sound:german-die Adresse.mp3]	address
angemessen [sound:german-angemessen.mp3]	adequate
die Verwaltung [sound:german-die Verwaltung.mp3]	administration
erwachsen [sound:german-erwachsen.mp3]	adult
fortgeschritten [sound:german-fortgeschritten.mp3]	advanced
der Vorteil [sound:german-der Vorteil.mp3]	advantage
die Werbung [sound:german-die Werbung.mp3]	advertising
der Rat [sound:german-der Rat.mp3]	advice
Geschäfte, pl [sound:german-Geschäfte, pl.mp3]	affairs (plural)
besorgt [sound:german-besorgt.mp3]	afraid
nach [sound:german-nach.mp3]	after
darnach [sound:german-darnach.mp3]	after that
der Nachmittag [sound:german-der Nachmittag.mp3]	afternoon
nachher [sound:german-nachher.mp3]	afterwards
wieder [sound:german-wieder.mp3]	again
gegen [sound:german-gegen.mp3]	against
das Alter [sound:german-das Alter.mp3]	age
vor [sound:german-vor.mp3]	ago
zustimmen [sound:german-zustimmen.mp3]	agree
die Vereinbarung [sound:german-die Vereinbarung.mp3]	agreement
die Hilfe [sound:german-die Hilfe.mp3]	aid (help)
das Ziel [sound:german-das Ziel.mp3]	aim
die Luft [sound:german-die Luft.mp3]	air
das Flugzeug [sound:german-das Flugzeug.mp3]	airplane
der Flughafen [sound:german-der Flughafen.mp3]	airport
der Wecker [sound:german-der Wecker.mp3]	alarm clock
der Alkohol [sound:german-der Alkohol.mp3]	alcohol
lebendig [sound:german-lebendig.mp3]	alive
alle [sound:german-alle.mp3]	all
erlauben [sound:german-erlauben.mp3]	allow
fast [sound:german-fast.mp3]	almost
allein [sound:german-allein.mp3]	alone
entlang [sound:german-entlang.mp3]	along
schon [sound:german-schon.mp3]	already
auch [sound:german-auch.mp3]	also (too)
obwohl [sound:german-obwohl.mp3]	although
immer [sound:german-immer.mp3]	always
unter, zwischen [sound:german-unter, zwischen.mp3]	among
der Betrag [sound:german-der Betrag.mp3]	amount
vergnügen [sound:german-vergnügen.mp3]	amuse
alt [sound:german-alt.mp3]	ancient
und [sound:german-und.mp3]	and
der Winkel [sound:german-der Winkel.mp3]	angle
wütend [sound:german-wütend.mp3]	angry
das Tier [sound:german-das Tier.mp3]	animal
die Fessel [sound:german-die Fessel.mp3]	ankle
ankündigen [sound:german-ankündigen.mp3]	announce
jährlich [sound:german-jährlich.mp3]	annual
die Antwort [sound:german-die Antwort.mp3]	answer
die Ameise [sound:german-die Ameise.mp3]	ant
irgend jemand [sound:german-irgend jemand.mp3]	anyone
irgend etwas [sound:german-irgend etwas.mp3]	anything
irgendwo [sound:german-irgendwo.mp3]	anywhere
die Wohnung [sound:german-die Wohnung.mp3]	apartment
erscheinen [sound:german-erscheinen.mp3]	appear
der Appetit [sound:german-der Appetit.mp3]	appetite
der Apfel [sound:german-der Apfel.mp3]	apple
anwenden [sound:german-anwenden.mp3]	apply
sich nähern [sound:german-sich nähern.mp3]	approach
passend [sound:german-passend.mp3]	appropriate
die Billigung [sound:german-die Billigung.mp3]	approval
ungefähr [sound:german-ungefähr.mp3]	approximately
die Aprikose [sound:german-die Aprikose.mp3]	apricot
der April [sound:german-der April.mp3]	April
das Gebiet [sound:german-das Gebiet.mp3]	area
der Beweis [sound:german-der Beweis.mp3]	argument
der Arm [sound:german-der Arm.mp3]	arm
der Sessel [sound:german-der Sessel.mp3]	armchair
Waffen, pl [sound:german-Waffen, pl.mp3]	arms (plural)
die Armee [sound:german-die Armee.mp3]	army
herum [sound:german-herum.mp3]	around
die Ankunft [sound:german-die Ankunft.mp3]	arrival
ankommen [sound:german-ankommen.mp3]	arrive
die Kunst [sound:german-die Kunst.mp3]	art
der Artikel [sound:german-der Artikel.mp3]	article
die Künstlerin [sound:german-die Künstlerin.mp3]	artist (feminine)
Künstler, der, [sound:german-Künstler, der,.mp3]	artist (masculine)
wie [sound:german-wie.mp3]	as (like)
als [sound:german-als.mp3]	as (when)
bitten [sound:german-bitten.mp3]	to ask (beg)
fragen [sound:german-fragen.mp3]	ask (question)
der Anblick [sound:german-der Anblick.mp3]	aspect
die Versammlung [sound:german-die Versammlung.mp3]	assembly
die Zuweisung [sound:german-die Zuweisung.mp3]	assignment
der Beistand / die Assistenz [sound:german-der Beistand.mp3]&nbsp;[sound:german-die Assistenz.mp3]	assistance
der Verband [sound:german-der Verband.mp3]	association
um [sound:german-um.mp3]	at (hour)
an [sound:german-an.mp3]	at (place)
endlich [sound:german-endlich.mp3]	at last
wenigstens [sound:german-wenigstens.mp3]	at least
höchstens [sound:german-höchstens.mp3]	at most
zur gleichen Zeit [sound:german-zur gleichen Zeit.mp3]	at the same time
angreifen [sound:german-angreifen.mp3]	attack
der Versuch [sound:german-der Versuch.mp3]	attempt
die Achtung [sound:german-die Achtung.mp3]	attention
die Haltung [sound:german-die Haltung.mp3]	attitude
der Anwalt [sound:german-der Anwalt.mp3]	attorney
der August [sound:german-der August.mp3]	August
die Tante [sound:german-die Tante.mp3]	aunt
die Schriftstellerin [sound:german-die Schriftstellerin.mp3]	author (feminine)
Schriftsteller, der, [sound:german-Schriftsteller, der,.mp3]	author (masculine)
der Herbst [sound:german-der Herbst.mp3]	autumn
käuflich [sound:german-käuflich.mp3]	available
vermeiden [sound:german-vermeiden.mp3]	avoid
erwachen [sound:german-erwachen.mp3]	awake
aufgeweckt [sound:german-aufgeweckt.mp3]	aware
weg [sound:german-weg.mp3]	away
[sound:german-.mp3]	
das Baby [sound:german-das Baby.mp3]	baby
zurück [sound:german-zurück.mp3]	back
der Rücken [sound:german-der Rücken.mp3]	back (body)
der Hintergrund [sound:german-der Hintergrund.mp3]	background
der Speck [sound:german-der Speck.mp3]	bacon
schlecht [sound:german-schlecht.mp3]	badly
die Tasche [sound:german-die Tasche.mp3]	bag
das Gepäck [sound:german-das Gepäck.mp3]	baggage
backen [sound:german-backen.mp3]	bake
der Bäcker [sound:german-der Bäcker.mp3]	baker
die Bäckerei [sound:german-die Bäckerei.mp3]	bakery
der Balkon [sound:german-der Balkon.mp3]	balcony
der Ball [sound:german-der Ball.mp3]	ball
die Banane [sound:german-die Banane.mp3]	banana
das Band [sound:german-das Band.mp3]	band
